id,title,card_type,trait,mp,effect,strength,intelligence,special,,image_url
S18-JL,Special 3,Battle,,1,,,,3,,http://metaxdb.com/images/S18-JL.jpg
S19-JL,Superman - Man of Steel,Character,Hero,2,PLAY: Draw a card.,7,3,5,,http://metaxdb.com/images/S19-JL.jpg
S20-JL,Supergirl - Kara Zor-El,Character,Hero,0,PLAY: Each player reveals their hand and discards all Events revealed.,6,3,,,http://metaxdb.com/images/S20-JL.jpg
S21-JL,Krypto - The Super Dog,Character,Hero,2,"CONSTANT: At the end of each player's turn, that player draws a card.",,,5,,http://metaxdb.com/images/S21-JL.jpg
S22-JL,Green Arrow - Emerald Archer,Character,Hero,2,PUSH: Attach a Battle Card with a maximum rank of 5 or less from your hand to target Character.,2,3,5,,http://metaxdb.com/images/S22-JL.jpg
S23-JL,Rebirth,Event,,-1,Shuffle 3 non-Event cards from your discard pile into your deck.,,,,,http://metaxdb.com/images/S23-JL.jpg
S24-JL,Passion for the Hunt,Event,,-2,Search your deck for a Battle Card and place it in your hand.,,,,,http://metaxdb.com/images/S24-JL.jpg
S25-JL,Power Corrupts,Event,,-3,Attacks from target Character cannot be defended this turn.,,,,,http://metaxdb.com/images/S25-JL.jpg
S26-JL,Strength 7,Battle,,-3,,7,,,,http://metaxdb.com/images/S26-JL.jpg
S27-JL,Strength 6,Battle,,-2,,6,,,,http://metaxdb.com/images/S27-JL.jpg
S28-JL,Strength 3,Battle,,1,,3,,,,http://metaxdb.com/images/S28-JL.jpg
S29-JL,Strength 2,Battle,,2,,2,,,,http://metaxdb.com/images/S29-JL.jpg
S30-JL,Strength 1,Battle,,3,,1,,,,http://metaxdb.com/images/S30-JL.jpg
S31-JL,Intelligence 3,Battle,,1,,,3,,,http://metaxdb.com/images/S31-JL.jpg
S32-JL,Intelligence 2,Battle,,2,,,2,,,http://metaxdb.com/images/S32-JL.jpg
S33-JL,Intelligence 1,Battle,,3,,,1,,,http://metaxdb.com/images/S33-JL.jpg
S34-JL,Special 5,Battle,,-1,,,,5,,http://metaxdb.com/images/S34-JL.jpg
S35-JL,Special 4,Battle,,0,,,,4,,http://metaxdb.com/images/S35-JL.jpg
S36-JL,Special 1,Battle,,3,,,,1,,http://metaxdb.com/images/S36-JL.jpg
S37-JL,Cyborg - Victor Stone,Character,Hero,3,"PLAY: Draw 2 cards, then discard 2 cards from your hand.",4,,5,,http://metaxdb.com/images/S37-JL.jpg
S38-JL,Green Lantern - Hal Jordan,Character,Hero,2,PUSH: Draw a card.,,3,6,,http://metaxdb.com/images/S38-JL.jpg
S39-JL,Blue Beetle - Ted Kord,Character,Hero,4,PLAY: You may play another Character with a maximum rank of 5 or less.,3,5,,,http://metaxdb.com/images/S39-JL.jpg
S40-JL,Vixen - Mari McCabe,Character,Hero,2,"CONSTANT: Whenever you discard 1 or more cards from your hand, draw a card.",3,,5,,http://metaxdb.com/images/S40-JL.jpg
S41-JL,Sleight of Hand,Event,,0,"Look at your opponent's VP pile and choose a card, then swap this card facedown with the chosen card.",,,,,http://metaxdb.com/images/S41-JL.jpg
S42-JL,Strength in Numbers,Event,,-1,"If you perform a Team Attack this turn, draw 2 cards.",,,,,http://metaxdb.com/images/S42-JL.jpg
S43-JL,Meta Superiority,Event,,-2,Attach a Battle Card from your hand to target Character.,,,,,http://metaxdb.com/images/S43-JL.jpg
S44-JL,Strength 4,Battle,,0,,4,,,,http://metaxdb.com/images/S44-JL.jpg
S45-JL,Strength 3,Battle,,1,,3,,,,http://metaxdb.com/images/S45-JL.jpg
S46-JL,Strength 2,Battle,,2,,2,,,,http://metaxdb.com/images/S46-JL.jpg
S47-JL,Strength 1,Battle,,3,,1,,,,http://metaxdb.com/images/S47-JL.jpg
S48-JL,Intelligence 5,Battle,,-1,,,5,,,http://metaxdb.com/images/S48-JL.jpg
S49-JL,Intelligence 3,Battle,,1,,,3,,,http://metaxdb.com/images/S49-JL.jpg
S50-JL,Intelligence 1,Battle,,3,,,1,,,http://metaxdb.com/images/S50-JL.jpg
S51-JL,Special 6,Battle,,-2,,,,6,,http://metaxdb.com/images/S51-JL.jpg
S52-JL,Special 5,Battle,,-1,,,,5,,http://metaxdb.com/images/S52-JL.jpg
S53-JL,Special 4,Battle,,0,,,,4,,http://metaxdb.com/images/S53-JL.jpg
S54-JL,Special 3,Battle,,1,,,,3,,http://metaxdb.com/images/S54-JL.jpg
S55-JL,Batman - Dark Knight,Character,Hero,3,PLAY: Push target Character.,2,7,6,,http://metaxdb.com/images/S55-JL.jpg
S56-JL,Batgirl - Barbara Gordon,Character,Hero,3,CONSTANT: This card may Link to a Team Attack for 0 MP.,4,5,,,http://metaxdb.com/images/S56-JL.jpg
S57-JL,Nightwing - Dick Grayson,Character,Hero,3,"CONSTANT: Whenever this card leads a Team Attack, gain 1 VP.",,4,6,,http://metaxdb.com/images/S57-JL.jpg
S58-JL,Robin - Boy Wonder,Character,Hero,2,PLAY: Draw cards until you have the same amount in your hand as your opponent.,3,,5,,http://metaxdb.com/images/S58-JL.jpg
S59-JL,Don't Go It Alone,Event,,0,You may Link a Character this turn for 0 MP.,,,,,http://metaxdb.com/images/S59-JL.jpg
S60-JL,Point Blank,Event,,-4,"Draw 3 cards, then discard 2 cards from your hand unless you discard a Character with a rank of 7.",,,,,http://metaxdb.com/images/S60-JL.jpg
S61-JL,Upper Hand,Event,,-4,Draw 2 cards.,,,,,http://metaxdb.com/images/S61-JL.jpg
S62-JL,Strength 4,Battle,,0,,4,,,,http://metaxdb.com/images/S62-JL.jpg
S63-JL,Strength 3,Battle,,1,,3,,,,http://metaxdb.com/images/S63-JL.jpg
S64-JL,Strength 2,Battle,,2,,2,,,,http://metaxdb.com/images/S64-JL.jpg
S65-JL,Strength 1,Battle,,3,,1,,,,http://metaxdb.com/images/S65-JL.jpg
S66-JL,Intelligence 7,Battle,,-3,,,7,,,http://metaxdb.com/images/S66-JL.jpg
S67-JL,Intelligence 5,Battle,,-1,,,5,,,http://metaxdb.com/images/S67-JL.jpg
S68-JL,Intelligence 4,Battle,,0,,,4,,,http://metaxdb.com/images/S68-JL.jpg
S69-JL,Intelligence 1,Battle,,3,,,1,,,http://metaxdb.com/images/S69-JL.jpg
S70-JL,Special 6,Battle,,-2,,,,6,,http://metaxdb.com/images/S70-JL.jpg
S71-JL,Special 4,Battle,,0,,,,4,,http://metaxdb.com/images/S71-JL.jpg
S72-JL,Special 1,Battle,,3,,,,1,,http://metaxdb.com/images/S72-JL.jpg
